Route_0
15.0	9.0	19
4.0	23.0	25
6.0	25.0	10
4.0	28.0	77
4.0	28.0	77
4.0	28.0	77
2.0	28.0	35
2.0	28.0	35
39.0	13.0	93
Route_1
61.0	48.0	14
54.0	41.0	79
30.0	21.0	73
19.0	37.0	20
17.0	37.0	26
17.0	37.0	26
17.0	37.0	26
21.0	48.0	42
57.0	53.0	78
Route_2
86.0	36.0	43
88.0	29.0	36
88.0	29.0	36
97.0	29.0	15
107.0	25.0	80
107.0	25.0	80
107.0	25.0	80
90.0	44.0	24
84.0	36.0	3
Route_3
116.0	22.0	51
116.0	22.0	51
116.0	22.0	51
116.0	22.0	51
105.0	2.0	95
105.0	2.0	95
101.0	0.0	83
83.0	12.0	90
113.0	32.0	27
Route_4
111.0	66.0	98
125.0	68.0	22
125.0	68.0	22
140.0	42.0	61
140.0	42.0	61
113.0	32.0	27
113.0	32.0	27
113.0	32.0	27
111.0	66.0	98
Route_5
127.0	108.0	23
137.0	101.0	52
117.0	92.0	55
109.0	78.0	41
109.0	71.0	57
109.0	71.0	57
85.0	75.0	92
79.0	72.0	4
127.0	112.0	32
Route_6
109.0	139.0	65
109.0	139.0	65
109.0	139.0	65
109.0	139.0	65
119.0	136.0	99
119.0	136.0	99
137.0	137.0	53
121.0	123.0	50
103.0	119.0	33
Route_7
85.0	106.0	9
85.0	106.0	9
85.0	106.0	9
91.0	108.0	59
94.0	104.0	29
90.0	101.0	21
84.0	88.0	82
84.0	88.0	82
80.0	103.0	66
Route_8
34.0	108.0	69
36.0	124.0	71
37.0	125.0	11
44.0	116.0	88
50.0	106.0	17
70.0	94.0	54
70.0	94.0	54
79.0	72.0	4
58.0	95.0	30
Route_9
35.0	102.0	58
35.0	102.0	58
28.0	99.0	84
28.0	99.0	84
18.0	104.0	13
10.0	86.0	1
35.0	90.0	97
60.0	84.0	64
