NODE_COORD_SECTION		
1	70	70
2	10	86
3	16	62
4	84	36
5	79	72
6	16	39
7	61	54
8	96	26
9	16	92
10	85	106
11	6	25
12	37	125
13	87	108
14	18	104
15	61	48
16	97	29
17	112	67
18	50	106
19	99	28
20	15	9
21	19	37
22	90	101
23	125	68
24	127	108
25	90	44
26	4	23
27	17	37
28	113	32
29	63	57
30	94	104
31	58	95
32	137	96
33	127	112
34	103	119
35	20	69
36	2	28
37	88	29
38	86	102
39	126	112
40	61	34
41	113	69
42	109	78
43	21	48
44	86	36
45	97	12
46	121	112
47	19	39
48	66	40
49	87	39
50	63	50
51	121	123
52	116	22
53	137	101
54	137	137
55	70	94
56	117	92
57	122	113
58	109	71
59	35	102
60	91	108
61	8	87
62	140	42
63	16	38
64	44	36
65	60	84
66	109	139
67	80	103
68	66	82
69	99	26
70	34	108
71	135	65
72	36	124
73	102	60
74	30	21
75	139	110
76	10	111
77	18	70
78	4	28
79	57	53
80	54	41
81	107	25
82	110	99
83	84	88
84	101	0
85	28	99
86	119	114
87	118	108
88	50	112
89	44	116
90	82	100
91	83	12
92	126	23
93	85	75
94	39	13
95	120	136
96	105	2
97	36	54
98	35	90
99	111	66
100	119	136
